city_slug,category,tier_order,example_label,price_peak,price_off_peak,display_order,guestCount
denver,Venue,2,The Stanley Marketplace or The Manor House,22000,14500,1,
denver,Venue,2,Space Gallery or Mile High Station,18500,12500,2,
denver,Venue,2,The Wellshire Event Center or Highland Acres,16500,11000,3,
denver,Venue,3,Grand Hyatt Denver or Hyatt Regency Denver,19000,13500,1,
denver,Venue,3,The Westin Denver Downtown or Sheraton Denver Downtown,15000,10500,2,
denver,Venue,3,Renaissance Denver Downtown City or The Curtis Hotel,12000,8500,3,
key-west,Venue,4,The Gardens Hotel or Pier House Resort,18500,13500,1,
key-west,Venue,4,La Concha Crowne Plaza or Casablanca Hotel,15000,11000,2,
key-west,Venue,4,Galleon Resort or Best Western Key Ambassador,12000,8500,3,
lake-tahoe,Venue,4,Squaw Valley Wedding Venues or Northstar Village,18000,12500,1,
lake-tahoe,Venue,4,Lake Tahoe Resort Hotel or Aston Lakeland Village,14500,10000,2,
lake-tahoe,Venue,4,Cedar House Sport Hotel or Basecamp Tahoe South,11500,8000,3,
los-angeles,Venue,5,Hummingbird Nest Ranch or Triunfo Creek Vineyards,18000,13000,1,
los-angeles,Venue,5,Saddlerock Ranch or Newhall Mansion,15000,11000,2,
los-angeles,Venue,5,Lombardi House or The Houdini Estate,12000,9000,3,
maui,Venue,5,Olowalu Plantation House Cliffside or Sugar Beach Events,17000,12500,1,
maui,Venue,5,Maui Tropical Plantation or Gannon's Restaurant,14000,10000,2,
maui,Venue,5,Sea House Restaurant or The Plantation House,11500,8500,3,
miami,Venue,2,The Cooper Estate or The Ancient Spanish Monastery,21000,15000,1,
miami,Venue,2,Deering Estate or Curtiss Mansion,17500,12500,2,
miami,Venue,2,The Kampong or The Spanish Monastery (rental),15000,11000,3,
miami,Venue,4,The Wynwood Walls (Doral Building) or The Light Box,17000,12500,1,
miami,Venue,4,Soho Studios Miami or The Temple House,14000,10500,2,
miami,Venue,4,The P̩rez Art Museum or The Bunker Wynwood,11500,9000,3,
minneapolis,Venue,1,The Saint Paul Hotel or Hotel Ivy (Marriott Autograph),24000,17000,1,
minneapolis,Venue,1,Aria Minneapolis or Calhoun Beach Club,21000,15000,2,
minneapolis,Venue,1,Solar Arts by Chowgirls or Nicollet Island Pavilion,18500,13000,3,
minneapolis,Venue,2,A'BULAE or The Capri Theater,17500,12000,1,
minneapolis,Venue,2,The Westwood Town & Country Club or Lake Calhoun Yacht Club,15000,10000,2,
minneapolis,Venue,2,The Van Dusen Mansion or 514 Studios,13000,9000,3,
minneapolis,Venue,3,Hyatt Regency Minneapolis or The Marquette Hotel,17000,11500,1,
minneapolis,Venue,3,Hilton Minneapolis or Loews Minneapolis Hotel,13000,9000,2,
minneapolis,Venue,3,The Depot Minneapolis (Renaissance) or Embassy Suites Minneapolis,10000,7000,3,
nashville,Venue,1,The Hermitage Hotel or Belle Meade Plantation,32000,24000,1,
nashville,Venue,1,The Cordelle or The Country Music Hall of Fame,29000,22000,2,
nashville,Venue,1,Cheekwood Estate & Gardens or Schermerhorn Symphony Center,26000,20000,3,
nashville,Venue,2,The Bell Tower or Houston Station,24500,18500,1,
nashville,Venue,2,Ruby (Marathon Village) or Marathon Music Works,21500,16500,2,
nashville,Venue,2,The Cordelle Garden or Cannery Ballroom,19000,14500,3,
nashville,Venue,3,Omni Nashville or The Westin Nashville,17500,13000,1,
nashville,Venue,3,JW Marriott Nashville or Hutton Hotel,14000,10500,2,
nashville,Venue,3,Renaissance Nashville Hotel or Sheraton Nashville Downtown,11500,8500,3,
new-orleans,Venue,1,The Roosevelt New Orleans or Hotel Monteleone,25000,18000,1,
new-orleans,Venue,1,Race & Religious or Latrobe's on Royal,22000,16000,2,
new-orleans,Venue,1,The Cabildo or Old Ursuline Convent,19500,14000,3,
new-orleans,Venue,2,Marigny Opera House or The Elms Mansion,18500,13000,1,
new-orleans,Venue,2,Generations Hall or Race Street Hall,15500,11000,2,
new-orleans,Venue,2,The Pharmacy Museum or Felicity Church,13500,9500,3,
new-orleans,Venue,3,Windsor Court Hotel or The Ritz-Carlton New Orleans,16500,12000,1,
new-orleans,Venue,3,Loews New Orleans or InterContinental New Orleans,13000,9500,2,
new-orleans,Venue,3,Hyatt Regency New Orleans or Sheraton New Orleans,10500,7500,3,
new-york-city,Venue,5,Tribeca 360 or The Foundry (LIC),28000,20000,1,
new-york-city,Venue,5,The Liberty Warehouse or Pier Sixty,24000,17500,2,
new-york-city,Venue,5,Greenpoint Loft or The Bordone LIC,20000,14500,3,
philadelphia,Venue,1,The Crystal Tea Room or The Logan Hotel,28000,19500,1,
philadelphia,Venue,1,Cescaphe Ballroom or The Down Town Club,25000,18000,2,
philadelphia,Venue,1,The Franklin Institute or Curtis Center,22500,16000,3,
philadelphia,Venue,2,Cairnwood Estate or Penn Museum,21500,15000,1,
philadelphia,Venue,2,Powel House or The Union League of Philadelphia,18500,13000,2,
philadelphia,Venue,2,Glen Foerd Mansion or The Merion Cricket Club,16500,11500,3,
philadelphia,Venue,3,Four Seasons Hotel Philadelphia or The Ritz-Carlton Philadelphia,21000,15500,1,
philadelphia,Venue,3,Loews Philadelphia or Sofitel Philadelphia,16500,12000,2,
philadelphia,Venue,3,The Logan Philadelphia or Hyatt at the Bellevue,13000,9500,3,
portland,Venue,4,Castaway Portland or Cathedral Park Place,15500,11500,1,
portland,Venue,4,Holocene or The Evergreen,12500,9500,2,
portland,Venue,4,The Cleaners at Ace Hotel or Olympic Mills Commerce Center,10500,8000,3,
salt-lake-city,Venue,4,Snowbasin Resort or Solitude Mountain Resort,16500,12000,1,
salt-lake-city,Venue,4,Sundance Mountain Resort or Cliff Dining Pub Ogden,13000,9500,2,
salt-lake-city,Venue,4,Joseph Smith Memorial Building or Salt Lake Temple Gardens,10500,7500,3,
san-diego,Venue,4,Cuvier Club or The Crossings at Carlsbad,18000,13000,1,
san-diego,Venue,4,Coasterra or Tom Ham's Lighthouse,14500,10500,2,
san-diego,Venue,4,The Thursday Club or San Diego Mission Bay Resort,12000,9000,3,
san-francisco,Venue,4,The Pearl SF or City View at METREON,19000,13500,1,
san-francisco,Venue,4,The Bently Reserve or San Francisco Design Center,16000,11500,2,
san-francisco,Venue,4,The General's Residence or Terra Gallery,13500,9500,3,
savannah,Venue,1,The Mansion on Forsyth Park or Andaz Savannah,22000,16000,1,
savannah,Venue,1,The Westin Savannah Harbor or Perry Lane Hotel,20000,14500,2,
savannah,Venue,1,Ships of the Sea Maritime Museum or The Mackey House,17500,12500,3,
savannah,Venue,2,The Charles H. Morris Center or The Olde Pink House,16500,11500,1,
savannah,Venue,2,Whitefield Square Chapel or Soho South Cafe,14500,10000,2,
savannah,Venue,2,The Brice (Kimpton) or River Street Inn,13000,9000,3,
savannah,Venue,3,The Westin Savannah Harbor Golf Resort or Hyatt Regency Savannah,14000,10000,1,
savannah,Venue,3,DeSoto Savannah or Hilton Savannah DeSoto,11000,8000,2,
savannah,Venue,3,Embassy Suites Historic Savannah or Andaz Savannah (smaller package),9000,6500,3,
seattle,Venue,1,The Fairmont Olympic Hotel or Four Seasons Hotel Seattle,32000,23000,1,
seattle,Venue,1,The Edgewater Hotel or Hotel 1000,28000,20000,2,
seattle,Venue,1,The Arctic Club or Sodo Park,24500,17500,3,
seattle,Venue,2,DeLille Cellars or JM Cellars,23000,16500,1,
seattle,Venue,2,Newcastle Golf Club or Willows Lodge,19500,14000,2,
seattle,Venue,2,The Foundry by Herban Feast or Hidden Meadows in the Mountains,16500,12000,3,
seattle,Venue,4,Within SODO or The Olympic Rooftop Pavilion,16000,11500,1,
seattle,Venue,4,Block 41 or Axis Pioneer Square,13000,9500,2,
seattle,Venue,4,The Hangar at Town & Country or Georgetown Ballroom,10500,7500,3,
washington-dc,Venue,1,The Hay-Adams or The Jefferson Hotel,36000,26000,1,
washington-dc,Venue,1,The Willard InterContinental or Salamander Resort & Spa,33000,24000,2,
washington-dc,Venue,1,Meridian House or Whittemore House,29000,21000,3,
washington-dc,Venue,2,Decatur House or The Mansion on O Street,27000,19500,1,
washington-dc,Venue,2,The Carnegie Institution for Science or Anderson House,23000,16500,2,
washington-dc,Venue,2,The Cosmos Club or Strathmore Mansion,19500,14000,3,
sedona,Venue,4,Briar Patch Inn or Forest Houses Resort,15500,11000,1,
sedona,Venue,4,Sky Ranch Lodge or Sedona Real Inn & Suites,12500,9000,2,
sedona,Venue,4,Sedona Pines Resort or Arabella Hotel Sedona,10500,7500,3,
tampa-st-pete,Venue,4,The Birchwood St. Pete or NOVA 535,16500,11500,1,
tampa-st-pete,Venue,4,Hotel Haya or The Vinoy Renaissance (smaller ballroom),13500,10000,2,
tampa-st-pete,Venue,4,Tampa Bay History Center or The Cuban Club,11000,8000,3,
phoenix,Venue,1,The Phoenician (Grand Ballroom premium) or Royal Palms Resort,28000,17000,1,
phoenix,Venue,1,The Wrigley Mansion or Arizona Biltmore (Catalina Pool),24000,14500,2,
phoenix,Venue,1,Mountain Shadows Resort or Sanctuary Camelback Mountain,21000,13000,3,
phoenix,Venue,2,Tlaquepaque Arts (Phoenix) or The Farm at South Mountain,19500,11500,1,
phoenix,Venue,2,The Croft Downtown or El Chorro Lodge,16500,9500,2,
phoenix,Venue,2,Stonebridge Manor or Secret Garden Events,14000,8000,3,
aspen-vail,Venue,5,Aspen Mountain Club or Park Hyatt Beaver Creek (smaller package),17500,12000,1,
aspen-vail,Venue,5,The Westin Riverfront Beaver Creek or Vail Marriott Mountain Resort,14000,10000,2,
aspen-vail,Venue,5,Lift House Lodge or Manor Vail Lodge,11500,8000,3,
aspen-vail,Venue,6,Limelight Hotel Snowmass or Cooper St. Pier,11000,7500,1,
aspen-vail,Venue,6,Aspen Square Hotel or Tivoli Lodge,9500,6500,2,
aspen-vail,Venue,6,Mountain Chalet Aspen or The Antlers Vail,8000,5500,3,
aspen-vail,Venue,7,The Little Nell (private restaurant buyout) or Element 47,14500,9500,1,
aspen-vail,Venue,7,Matsuhisa Aspen or Cache Cache (full buyout),12000,8000,2,
aspen-vail,Venue,7,Sweet Basil Vail or Mountain Standard (full buyout),9500,6500,3,
asheville,Florals & Decor,1,Studios like Floressence or Pink Magnolia,20000,16000,1,
asheville,Florals & Decor,1,The Petal Connection or B. Sweet Designs,17500,14000,2,
asheville,Florals & Decor,1,Flora or comparable mountain-region designers,14500,11500,3,
asheville,Florals & Decor,2,Asheville Wedding Flowers or Heart's Delight Designs,13500,11000,1,
asheville,Florals & Decor,2,Petal Powered or Carolina Flowers,11000,9000,2,
asheville,Florals & Decor,2,Flower Gallery or Studio Hark,8500,7000,3,
atlanta,Florals & Decor,1,Bloomtastic Atlanta or Eddie Zaratsian (Atlanta projects),22000,18000,1,
atlanta,Florals & Decor,1,Edge Design Group or Vintage Cellar Floral,19000,15500,2,
atlanta,Florals & Decor,1,En Fleur or Tulip and Twine,16500,13500,3,
atlanta,Florals & Decor,2,Faye and Renee or Floral Theory,15500,13000,1,
atlanta,Florals & Decor,2,Petals & Lace or Loris & Lewis,12500,10500,2,
atlanta,Florals & Decor,2,Bloomies Flowers or Studio Floral Designs,9500,8000,3,
austin,Florals & Decor,1,The Wildflower Company or Posey Floral & Event Design,29000,24000,1,
austin,Florals & Decor,1,Whim Hospitality or Bouquets of Austin,25000,21000,2,
austin,Florals & Decor,1,Petal Pushers or Verbena Floral Design,22000,18500,3,
austin,Florals & Decor,2,Lisa Sammons Events or Coco Fleur Events,20000,16500,1,
austin,Florals & Decor,2,The Lovely Stem or Bloom Floral Studio,16500,13500,2,
austin,Florals & Decor,2,Fleurish Floral or Stems Floral,13000,11000,3,
austin,Florals & Decor,3,Flora Fetish or House of Hough Austin,9500,8000,1,
austin,Florals & Decor,3,Petal Pushers (traditional package) or Whim Hospitality (base),7000,6000,2,
austin,Florals & Decor,3,Cedar & Vine or Austin Flower Company,5000,4200,3,
boston,Florals & Decor,1,Marc Hall Design or Winston Flowers,27000,21500,1,
boston,Florals & Decor,1,Stapleton Floral Design or Floral Reserve,23500,18500,2,
boston,Florals & Decor,1,For̻t Design Studio or Les Fleurs Andover,20500,16500,3,
boston,Florals & Decor,2,The Topsfield Florist or Beach Plum Flowers,19500,15500,1,
boston,Florals & Decor,2,Pinpoint Floral or Datura Floral Design,15500,12500,2,
boston,Florals & Decor,2,Field & Vase or Russo & Maria's Florist,12500,10500,3,
boston,Florals & Decor,3,Brattle Square Florist or Central Square Florist,9500,8000,1,
boston,Florals & Decor,3,Stems Boston or Lotus Designs,7000,6000,2,
boston,Florals & Decor,3,Tabrizi's Floral Boutique or Petal & Stem,4800,4200,3,
charleston,Florals & Decor,1,Stems Floral or Branch Design Studio,24000,19500,1,
charleston,Florals & Decor,1,Mims Floral Design or A Charleston Bride,21000,17000,2,
charleston,Florals & Decor,1,Out of the Garden Flowers or Sara York Grimshaw Designs,18000,15000,3,
charleston,Florals & Decor,2,Tiger Lily Weddings or Wildflower Inc.,16500,13500,1,
charleston,Florals & Decor,2,Carolina Flowers or The Petal Report,13500,11000,2,
charleston,Florals & Decor,2,Charleston Stems or A Garden of Earthly Delights,11000,9000,3,
chicago,Florals & Decor,1,Asrai Garden or Kehoe Designs,27000,21000,1,
chicago,Florals & Decor,1,Pollen Floral Design or HMR Designs,23500,18500,2,
chicago,Florals & Decor,1,Larkspur or Vale of Enna,20500,16500,3,
chicago,Florals & Decor,2,Steve's Flower Market or Town and Country Gardeners,19500,15500,1,
chicago,Florals & Decor,2,Fragrant Design Boutique or Foliage Flowers,16000,13000,2,
chicago,Florals & Decor,2,Yellow Tree Studio or Christy Webber Farm & Garden,13000,10500,3,
chicago,Florals & Decor,3,Gus Galanis & Sons or Phillip's Flowers,9500,8000,1,
chicago,Florals & Decor,3,LaSalle Flowers or City Scents,7000,6000,2,
chicago,Florals & Decor,3,A New Leaf or Bunches Chicago,4800,4200,3,
dallas,Florals & Decor,1,Bows + Arrows or Avant Garden,22000,18000,1,
dallas,Florals & Decor,1,Cebolla Fine Flowers or Branching Out Events,19000,15500,2,
dallas,Florals & Decor,1,Stems of Dallas or Wonderfully Floral,16500,13500,3,
dallas,Florals & Decor,2,The Southern Table or Garden Gate Floral,15500,13000,1,
dallas,Florals & Decor,2,Lush Couture Floral or Posh Floral Designs,12500,10500,2,
dallas,Florals & Decor,2,Garden Inspirations or Petals Couture,9500,8000,3,
denver,Florals & Decor,1,Bare Root Flora or Sash & Bough,22000,18000,1,
denver,Florals & Decor,1,Lily Lane Floral or Briar Rose Flowers,19000,15500,2,
denver,Florals & Decor,1,Heart and Whim Designs or Wild Bloom Floral,16500,13500,3,
denver,Florals & Decor,2,The Perfect Petal or Statice Floral,15500,13000,1,
denver,Florals & Decor,2,Buds and Blooms or Bonnie Brae Flowers,12500,10500,2,
denver,Florals & Decor,2,Veldkamp's Flowers or Newberry Brothers,9500,8000,3,
detroit,Florals & Decor,2,Sweet Pea Floral (full installation package) or Emerald City Designs,15500,13000,1,
detroit,Florals & Decor,2,Blossoms Birmingham (installation package) or Viviano Flower Shop,12500,10500,2,
detroit,Florals & Decor,2,Detroit Flower Company or Conner Park Florist,8000,6500,3,
houston,Florals & Decor,3,Stems Flower Shop or Westchase Florist,8000,6500,1,
houston,Florals & Decor,3,Empty Vase Florist Houston or Houston Floral Events,6000,5000,2,
houston,Florals & Decor,3,Hugo's Flowers or A Bouquet of Roses,3500,3000,3,
key-west,Florals & Decor,2,Wild Hibiscus Flower Company (installation) or Milan Event Floral,17000,14000,1,
key-west,Florals & Decor,2,Andrew Christopher Events (installation) or Petals Florida Keys,13500,11000,2,
key-west,Florals & Decor,2,Florida Keys Floral Design or Garden of Eden Floral,9500,8000,3,
lake-tahoe,Florals & Decor,3,Sierra Flower Finder or Tahoe Flowers,9000,7500,1,
lake-tahoe,Florals & Decor,3,Twist Flowers (traditional package) or Thran's Flowers,6500,5500,2,
lake-tahoe,Florals & Decor,3,Petal Pushers Tahoe or Truckee River Flowers,4200,3700,3,
los-angeles,Florals & Decor,3,Hidden Garden Flowers or Floral Crush LA,11500,9500,1,
los-angeles,Florals & Decor,3,Of the Flowers or Bloomers and Beyond,8500,7000,2,
los-angeles,Florals & Decor,3,Rolling Greens or Atelier West Hollywood,6000,5000,3,
maui,Florals & Decor,2,Wildheart Floral Design (installation) or Bliss in Bloom (installation),19000,16000,1,
maui,Florals & Decor,2,Studio Flora (installation) or Dellables Floral Artistry,15000,13000,2,
maui,Florals & Decor,2,Maui Vibes Events or Pacific Isle Floral,11000,9500,3,
maui,Florals & Decor,3,Hawaii Flower Lei or Maui Floral Studio,8500,7000,1,
maui,Florals & Decor,3,Watanabe Floral Maui or Plantation Garden Center,6000,5000,2,
maui,Florals & Decor,3,Trade Winds Floral or Sweet Bee Floral,4200,3500,3,
miami,Florals & Decor,1,Avant Gardens or XOXO Bloom,24000,19500,1,
miami,Florals & Decor,1,Karla Conceptual Event Experiences or Vanessa Rogers Floral,21000,17000,2,
miami,Florals & Decor,1,Bloomgame or Petal Productions Miami,18000,14500,3,
miami,Florals & Decor,2,Style Me Bloom or Soiree Floral & Events,16000,13000,1,
miami,Florals & Decor,2,Anthology Floral or Le Petit Sapin,13000,10500,2,
miami,Florals & Decor,2,Miami Flower Market or Mayflower Florist,10500,8500,3,
minneapolis,Florals & Decor,1,Munster Rose or Lily & Lou's Flower Co.,20000,16000,1,
minneapolis,Florals & Decor,1,Ladybird Poppy or Sadie's Floral,17500,14000,2,
minneapolis,Florals & Decor,1,Studio M Florals or The Vintage Whim,14500,11500,3,
minneapolis,Florals & Decor,2,Lilly Pulled Floral or Foxglove Market & Studio,13500,11000,1,
minneapolis,Florals & Decor,2,Daisy Bow Floral or Bachman's,11000,9000,2,
minneapolis,Florals & Decor,2,Robbinsdale Flowers or Hippity Hop Floral,8500,7000,3,
napa-sonoma,Florals & Decor,3,Whole Bouquet Floral or Loop Flowers Petaluma,10500,8500,1,
napa-sonoma,Florals & Decor,3,Sunny Slope Gardens or Wine Country Flowers,8000,6500,2,
napa-sonoma,Florals & Decor,3,Napa Valley Florist or Mac McDonald Floral,6000,5000,3,
nashville,Florals & Decor,1,The Enchanted Florist or Bluebell Botanical,29000,24000,1,
nashville,Florals & Decor,1,Hot House Designs or Branches Nashville,25000,21000,2,
nashville,Florals & Decor,1,Bumby Floral or LMA Designs,22000,18500,3,
nashville,Florals & Decor,2,Amelia's Flower Truck or Petal Production,20000,16500,1,
nashville,Florals & Decor,2,Rebloom Nashville or Posey,16500,13500,2,
nashville,Florals & Decor,2,Nashville Wraps or A Village of Flowers,13000,11000,3,
nashville,Florals & Decor,3,The Tulip Tree or Geny's Flowers,9500,8000,1,
nashville,Florals & Decor,3,Bluebird Bouquet or Whimsy Floral,7000,6000,2,
nashville,Florals & Decor,3,Bates Nursery & Garden Center or Rebel Hill Florist,4800,4200,3,
new-orleans,Florals & Decor,1,Kim Starr Wise Floral Events or Bella Blooms Floral,24000,19500,1,
new-orleans,Florals & Decor,1,Rosalind or Petals to Platinum,21000,17000,2,
new-orleans,Florals & Decor,1,Antigua Floral or The Plant Gallery,18000,15000,3,
new-orleans,Florals & Decor,2,A Vintage Affair or Tommy's Wedding Flowers,16500,13500,1,
new-orleans,Florals & Decor,2,Mitch's Flowers or French Quarter Florist,13500,11000,2,
new-orleans,Florals & Decor,2,Hibiscus Florist or NOLA Flora,11000,9000,3,
philadelphia,Florals & Decor,1,Beautiful Blooms or Carl Alan Floral Designs,23000,18000,1,
philadelphia,Florals & Decor,1,Robertson's Flowers or Petal Pushers,20000,16000,2,
philadelphia,Florals & Decor,1,Stems by Skylar Caitlin or A Garden Party,17500,14000,3,
philadelphia,Florals & Decor,2,Sage Floral Design or Belovely Floral,16000,13000,1,
philadelphia,Florals & Decor,2,Falls Flowers or Verbena Designs,13000,10500,2,
philadelphia,Florals & Decor,2,Floral & Bloom Designs or Belle Fleur Philadelphia,10500,8500,3,
phoenix,Florals & Decor,1,Atelier Vert or Belle Fleur Phoenix,19500,16000,1,
phoenix,Florals & Decor,1,Petal Pushers Phoenix or Layers of Lovely Floral Design,17000,13500,2,
phoenix,Florals & Decor,1,Fleur de Lis Florist or Camelback Flowershop (premium),14500,11500,3,
phoenix,Florals & Decor,2,Cottage Flowers AZ or Petal Designs by Vanessa,13500,11000,1,
phoenix,Florals & Decor,2,Babe's Flowers or Frutas & Flores,11000,9000,2,
phoenix,Florals & Decor,2,Whitfill Nursery (florals) or Phoenix Flower Shops,8500,7000,3,
portland,Florals & Decor,2,Sammy's Flowers (installation) or Geranium Lake Flowers (installation),17500,13500,1,
portland,Florals & Decor,2,Field & Bouquet (installation) or Floramor Studios,13500,10500,2,
portland,Florals & Decor,2,Best Buds Floral or Tommy Luke Flowers,9500,7500,3,
salt-lake-city,Florals & Decor,2,Tinge Floral (installation) or Calie Rose (installation),13500,11000,1,
salt-lake-city,Florals & Decor,2,Sego Floral or Native Flower Company,10500,8500,2,
salt-lake-city,Florals & Decor,2,Lokal Floral or Petal Pixie SLC (installation),7500,6500,3,
san-francisco,Florals & Decor,1,Tulipina or Asiel Designs,34000,27000,1,
san-francisco,Florals & Decor,1,Sarah Winward (SF projects) or Natalie Bowen Designs,29500,23500,2,
san-francisco,Florals & Decor,1,The Bay Tree or Brown Paper Design,26000,21000,3,
san-francisco,Florals & Decor,2,Aimee Lomeli Designs (SF) or Studio Choo,23500,18500,1,
san-francisco,Florals & Decor,2,Birch San Francisco or Stems & Stories,19000,15000,2,
san-francisco,Florals & Decor,2,Mille Fiori Florals or Bell & Trunk Flowers,15500,12500,3,
san-francisco,Florals & Decor,3,Bloomfield Floral or Sea Flora SF,11500,9500,1,
san-francisco,Florals & Decor,3,Dahlia & Sage or Lille Florist,8500,7000,2,
san-francisco,Florals & Decor,3,Podesta Baldocchi or Eden Florist San Francisco,6500,5500,3,
savannah,Florals & Decor,1,ivory + beau or Branch Floral,20000,16000,1,
savannah,Florals & Decor,1,John Wesley Floral or The Savannah Florist,17500,14000,2,
savannah,Florals & Decor,1,The Lily Garden or Urban Poppy,14500,11500,3,
savannah,Florals & Decor,2,Coastal Creative or Harvey Designs,13500,10500,1,
savannah,Florals & Decor,2,Bess Paige Floral or Stems Floral Studio,11000,9000,2,
savannah,Florals & Decor,2,A Floral Affair or Magnolia Studios Savannah,8500,7500,3,
seattle,Florals & Decor,1,Botanique or Sublime Stems,24000,19500,1,
seattle,Florals & Decor,1,Bella Signora or Flor̩al Northwest,21000,17000,2,
seattle,Florals & Decor,1,Fleurine Co. or Tula Garden Floral Design,18000,15000,3,
seattle,Florals & Decor,2,Stem & Vine or Sky Nursery Floral,16000,13000,1,
seattle,Florals & Decor,2,Pike Place Flowers or Ballard Blossom,13000,10500,2,
seattle,Florals & Decor,2,Aria Style or Tribute Floral Design,10500,8500,3,
sedona,Florals & Decor,2,Sedona Floral Design (installation) or Wild Bloom Floral (Sedona installation),17500,13500,1,
sedona,Florals & Decor,2,Forever and Always Farm or Red Rock Floral Co. (installation),13500,10500,2,
sedona,Florals & Decor,2,Posies Flower Truck (installation) or Heart and Flowers Sedona,9500,7500,3,
tampa-st-pete,Florals & Decor,2,Andrea Layne Floral (installation) or Lemon Drops Weddings & Events,17500,14000,1,
tampa-st-pete,Florals & Decor,2,Save the Date Florida or Bruce Wayne Florals (installation),13500,11000,2,
tampa-st-pete,Florals & Decor,2,Northside Florist or Apple Blossoms Floral Designs,9500,8000,3,
washington-dc,Florals & Decor,3,Bergerons Flowers or Karin's Florist,12500,10000,1,
washington-dc,Florals & Decor,3,DC Rental or Volanni (traditional package),9500,7500,2,
washington-dc,Florals & Decor,3,Caruso Florist or American University Park Florist,6500,5500,3,
aspen-vail,Music & Entertainment,2,The DC Players (8-piece package) or Mountain Range Band,14500,12000,1,
aspen-vail,Music & Entertainment,2,Soul X (smaller setup) or Boogie Knights,11500,9500,2,
aspen-vail,Music & Entertainment,2,High Country Band or Mile High Sound Machine,8500,7000,3,
austin,Music & Entertainment,1,Atomic Duo or Memphis Train Revue,19000,15500,1,
austin,Music & Entertainment,1,The Spazmatics or Suede Austin,16500,13500,2,
austin,Music & Entertainment,1,Big City Outlaws or The Royal Dukes (Austin),14500,11500,3,
austin,Music & Entertainment,2,The Driving Notes or Soul Track Mind,13000,10500,1,
austin,Music & Entertainment,2,Sweet Talk Radio or The Bigsbys,10000,8000,2,
austin,Music & Entertainment,2,Texas Sound Check or Austin Wedding Band,7500,6000,3,
boston,Music & Entertainment,1,Wilson Stevens (Maxx Hi-Fi or AfterParty) or Hank Lane (Boston bookings),17500,13500,1,
boston,Music & Entertainment,1,Night Shift Brass or Boston Premier,15000,11500,2,
boston,Music & Entertainment,1,Compaq Big Band or Beantown Swing Orchestra,13000,10000,3,
boston,Music & Entertainment,2,Atwater Sound or The Boston Rebels,11500,9000,1,
boston,Music & Entertainment,2,Cover Story Boston or Beat Train,9000,7500,2,
boston,Music & Entertainment,2,Soul City Boston or 38 Special Cover Band,6500,5500,3,
detroit,Music & Entertainment,1,Cosmo or 50 Amp Fuse (Detroit booking),15500,12500,1,
detroit,Music & Entertainment,1,Steve King and the Dittilies or 1964 The Tribute,13000,10500,2,
detroit,Music & Entertainment,1,The Sun Messengers or Brian Pastoria Entertainment,10500,8500,3,
houston,Music & Entertainment,1,Memphis Train Revue or The Royal Dukes Houston,21000,16500,1,
houston,Music & Entertainment,1,Aces Wild or Big Time Party Band,18000,14000,2,
houston,Music & Entertainment,1,Houston Sound Machine or Wedding Crashers Texas,15500,12000,3,
houston,Music & Entertainment,2,Atomic Energy or The Black Tie Band Houston,12500,10000,1,
houston,Music & Entertainment,2,Suede Houston or Soul X Houston,9500,7500,2,
houston,Music & Entertainment,2,Hits Unlimited or White Tie Affair,7000,6000,3,
key-west,Music & Entertainment,1,Caribbean Cowboys or Sons of Beaches,19000,15500,1,
key-west,Music & Entertainment,1,Conch Republic Sound or Howard Livingston & The Mile Marker 24 Band,16000,13000,2,
key-west,Music & Entertainment,1,Bilge Pumps or Key West House Band,13500,11000,3,
key-west,Music & Entertainment,2,Island Time Trio (expanded) or Banzai Kuda,10500,8500,1,
key-west,Music & Entertainment,2,The Spotlights or KW Wedding Band Co.,8500,7000,2,
key-west,Music & Entertainment,2,Two Conchs or Tropical Wedding Band,6000,5000,3,
lake-tahoe,Music & Entertainment,1,Hot House West (Tahoe bookings) or 6th Avenue West (Tahoe),22500,18500,1,
lake-tahoe,Music & Entertainment,1,Boogie Machine or Pop Vinyl (Tahoe),19000,15500,2,
lake-tahoe,Music & Entertainment,1,Sierra Sound or Tahoe Soul Band,16000,13000,3,
lake-tahoe,Music & Entertainment,2,The Joint Chiefs or Soul Searchers (Tahoe),12500,10000,1,
lake-tahoe,Music & Entertainment,2,Mountain Soul or Lakeside Groove,10000,8000,2,
lake-tahoe,Music & Entertainment,2,Tahoe Tunes or Sierra Wedding Band Co.,7500,6500,3,
los-angeles,Music & Entertainment,1,Lucky Devils Band or The Replicas,19000,15500,1,
los-angeles,Music & Entertainment,1,West Coast Music (LA bookings) or The Pop Vinyl,16500,13500,2,
los-angeles,Music & Entertainment,1,Hi-Fi LA or Pop Rocks LA,14500,11500,3,
los-angeles,Music & Entertainment,2,The Tijuana Dogs or White Tie Affair LA,13000,10500,1,
los-angeles,Music & Entertainment,2,Take Cover or Liquid Blue LA,10500,8500,2,
los-angeles,Music & Entertainment,2,The Replicas (smaller setup) or Suede LA,7500,6500,3,
maui,Music & Entertainment,1,Anuhea Band or Hapa Wedding Band,22500,18500,1,
maui,Music & Entertainment,1,Mana'o Company or Maui Wedding Music Co.,19000,15500,2,
maui,Music & Entertainment,1,Island Sound Maui or Aloha Music Maui,16000,13000,3,
maui,Music & Entertainment,2,Lehua Maui or Ka'anapali Sound,12000,10000,1,
